Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
5,309,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,309,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,325,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,325,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,325,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,325,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,341,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,341,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,341,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,357,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,357,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,357,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,357,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,374,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,374,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,374,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,390,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,390,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,390,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,390,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,407,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,407,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,407,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,423,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,423,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,423,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,423,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,440,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,440,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,440,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,458,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,458,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,458,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,458,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,476,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,476,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,476,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,492,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,492,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,492,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,492,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,508,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,508,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,508,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,524,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,524,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,524,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,524,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,541,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,541,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,541,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,558,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,558,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,558,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,558,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,574,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
